"","radtime","narrow.band","qrad.narrow","wide.band","qrad.wide"
"2782",22.8,0,0,-2.83063200000005e-08,-0.0164609113666669
"2783",22.81,0,0,-2.83063200000005e-08,-0.0164609113666669
"2784",22.82,0,0,-2.83063200000005e-08,-0.0164609113666669
"2785",22.83,0,0,-2.83063200000005e-08,-0.0164609113666669
"2786",22.84,0,0,-2.83063200000005e-08,-0.0164609113666669
"2787",22.85,0,0,-2.83063200000005e-08,-0.0164609113666669
"2788",22.86,0,0,-2.83063200000005e-08,-0.0164609113666669
"2789",22.87,0,0,-2.83063200000005e-08,-0.0164609113666669
"2790",22.88,0,0,-2.83063200000005e-08,-0.0164609113666669
"2791",22.89,0,0,-2.83063200000005e-08,-0.0164609113666669
"2792",22.9,0,0,-2.83063200000005e-08,-0.0164609113666669
"2793",22.91,0,0,-2.83063200000005e-08,-0.0164609113666669
"2794",22.92,0,0,-2.83063200000005e-08,-0.0164609113666669
"2795",22.93,0,0,-2.83063200000005e-08,-0.0164609113666669
"2796",22.94,0,0,-2.83063200000005e-08,-0.0164609113666669
"2797",22.95,0,0,-2.83063200000005e-08,-0.0164609113666669
"2798",22.96,0,0,-2.83063200000005e-08,-0.0164609113666669
"2799",22.97,0,0,-2.83063200000005e-08,-0.0164609113666669
"2800",22.98,0,0,-2.83063200000005e-08,-0.0164609113666669
"2801",22.99,0,0,-2.83063200000005e-08,-0.0164609113666669
"2802",23,0,0,-2.83063200000005e-08,-0.0164609113666669
"2803",23.01,0,0,-2.83063200000005e-08,-0.0164609113666669
"2804",23.02,0,0,-2.83063200000005e-08,-0.0164609113666669
"2805",23.03,0,0,-2.83063200000005e-08,-0.0164609113666669
"2806",23.04,0,0,-2.83063200000005e-08,-0.0164609113666669
"2807",23.05,0,0,-2.83063200000005e-08,-0.0164609113666669
"2808",23.06,0,0,-2.83063200000005e-08,-0.0164609113666669
"2809",23.07,0,0,-2.83063200000005e-08,-0.0164609113666669
"2810",23.08,0,0,-2.83063200000005e-08,-0.0164609113666669
"2811",23.09,0,0,-2.83063200000005e-08,-0.0164609113666669
"2812",23.1,0,0,-2.83063200000005e-08,-0.0164609113666669
"2813",23.11,0,0,-2.83063200000005e-08,-0.0164609113666669
"2814",23.12,4.17669e-07,0.0158296551,9.47773680000004e-07,0.551156721966669
"2815",23.13,4.415358e-07,0.01673420682,9.47773680000004e-07,0.551156721966669
"2816",23.14,2.088345e-07,0.00791482754999999,7.03753680000003e-07,0.409252313633335
"2817",23.15,2.02867799999999e-07,0.00768868961999998,7.52557679999999e-07,0.437633195299999
"2818",23.16,2.02867799999999e-07,0.00768868961999998,7.52557679999999e-07,0.437633195299999
"2819",23.17,0,0,-2.83063200000005e-08,-0.0164609113666669
"2820",23.18,0,0,-2.83063200000005e-08,-0.0164609113666669
"2821",23.19,0,0,-2.83063200000005e-08,-0.0164609113666669
"2822",23.2,0,0,3.62125680000003e-07,0.210586141966668
"2823",23.21,0,0,4.10929679999999e-07,0.238967023633333
"2824",23.22,4.77336000000003e-08,0.00180910344000001,5.57341680000001e-07,0.324109668633334
"2825",23.23,0,0,5.08537679999998e-07,0.295728786966665
"2826",23.24,0,0,4.59733679999995e-07,0.267347905299997
"2827",23.25,1.909344e-07,0.00723641376000001,7.03753680000003e-07,0.409252313633335
"2828",23.26,2.02867799999999e-07,0.00768868961999998,7.03753680000003e-07,0.409252313633335
"2829",23.27,1.969011e-07,0.00746255169,7.52557679999999e-07,0.437633195299999
"2830",23.28,0,0,-2.83063200000005e-08,-0.0164609113666669
"2831",23.29,0,0,-2.83063200000005e-08,-0.0164609113666669
"2832",23.3,0,0,-2.83063200000005e-08,-0.0164609113666669
"2833",23.31,0,0,-2.83063200000005e-08,-0.0164609113666669
"2834",23.32,0,0,-2.83063200000005e-08,-0.0164609113666669
"2835",23.33,0,0,-2.83063200000005e-08,-0.0164609113666669
"2836",23.34,0,0,-2.83063200000005e-08,-0.0164609113666669
"2837",23.35,0,0,-2.83063200000005e-08,-0.0164609113666669
"2838",23.36,0,0,-2.83063200000005e-08,-0.0164609113666669
"2839",23.37,0,0,-2.83063200000005e-08,-0.0164609113666669
"2840",23.38,0,0,-2.83063200000005e-08,-0.0164609113666669
"2841",23.39,0,0,-2.83063200000005e-08,-0.0164609113666669
"2842",23.4,0,0,-2.83063200000005e-08,-0.0164609113666669
"2843",23.41,0,0,-2.83063200000005e-08,-0.0164609113666669
"2844",23.42,0,0,-2.83063200000005e-08,-0.0164609113666669
"2845",23.43,0,0,-2.83063200000005e-08,-0.0164609113666669
"2846",23.44,0,0,-2.83063200000005e-08,-0.0164609113666669
"2847",23.45,0,0,-2.83063200000005e-08,-0.0164609113666669
"2848",23.46,0,0,-2.83063200000005e-08,-0.0164609113666669
"2849",23.47,0,0,-2.83063200000005e-08,-0.0164609113666669
"2850",23.48,0,0,-2.83063200000005e-08,-0.0164609113666669
"2851",23.49,0,0,-2.83063200000005e-08,-0.0164609113666669
"2852",23.5,0,0,-2.83063200000005e-08,-0.0164609113666669
"2853",23.51,0,0,-2.83063200000005e-08,-0.0164609113666669
"2854",23.52,0,0,-2.83063200000005e-08,-0.0164609113666669
"2855",23.53,0,0,-2.83063200000005e-08,-0.0164609113666669
"2856",23.54,0,0,-2.83063200000005e-08,-0.0164609113666669
"2857",23.55,0,0,-2.83063200000005e-08,-0.0164609113666669
"2858",23.56,0,0,-2.83063200000005e-08,-0.0164609113666669
"2859",23.57,0,0,-2.83063200000005e-08,-0.0164609113666669
"2860",23.58,0,0,-2.83063200000005e-08,-0.0164609113666669
"2861",23.59,0,0,-2.83063200000005e-08,-0.0164609113666669
"2862",23.6,0,0,-2.83063200000005e-08,-0.0164609113666669
"2863",23.61,0,0,-2.83063200000005e-08,-0.0164609113666669
"2864",23.62,0,0,-2.83063200000005e-08,-0.0164609113666669
"2865",23.63,0,0,-2.83063200000005e-08,-0.0164609113666669
"2866",23.64,0,0,-2.83063200000005e-08,-0.0164609113666669
"2867",23.65,0,0,-2.83063200000005e-08,-0.0164609113666669
"2868",23.66,0,0,-2.83063200000005e-08,-0.0164609113666669
"2869",23.67,0,0,-2.83063200000005e-08,-0.0164609113666669
